Triathlon,0.75,40,110,1,10,1000,50,7,5,5,3,5,2,3,2,,,Cricket,3,"Lagaan, The Hundred-Foot Journey, Fire in Babylon"
Weightlifting,0.75,20,110,3,20,250,50,10,5,6,6,13,2,2,2,,,Field Hockey,2,"The Mighty Ducks, Field of Dreams"
"Auto Racing (e.g., Formula 1, NASCAR)",15,100,60,4.5,50,8000,10,23,9,7,10,0.5,5,3,6,,,Flag Football,0,N/A
Drag Racing,75,90,35,4,10,1000,5,13,8,4,8,1,3,2,2,,,Football (Soccer),20,"Goal!, The Damned United, Fever Pitch, Rudo y Cursi, Bend it Like Beckham, The Two Escobars, Pelé: Birth of a Legend, The Football Factory, The Greatest Game Ever Played, Once in a Lifetime: The Extraordinary Story of the New York Cosmos"
Motocross,75,80,55,4,40,1000,5,75,4,6,6,4,3,3,3,,,Handball,0,N/A
Enduro Motorcycle Racing,100,75,25,4,10,2000,5,75,4,4,6,5,3,2,2,,,Lacrosse,2,"Crooked Arrows, The Last of the Mohicans"
Water Motorsports,70,85,40,4,10,3000,5,15,4,3,5,2,3,2,2,,,Rugby,5,"Invictus, Forever Strong, The Rugby Player, This Is Your Country, The Union"
,,"accounts for multiple factors, such as location, frequency, equipment manufacturing, and travel",,,,,,,,,,,1 = never,,,,,Tug of War,0,N/A
,,,"International Federations (IFs): For sports like basketball, cricket, and cycling, international governing bodies and their global reach have been referenced.",,"Sports Participation Reports from international governing bodies (FIFA, IOC, FIBA, FINA, etc.).",,,,,,,,2 = somewhat,,,,,Volleyball,3,"Side Out, The Miracle Season, Cast Away"
,,,"Sports Participation Data: Reports from the International Olympic Committee (IOC), FIFA, FIM (International Motorcycling Federation), and World Squash Federation.",,Global Sports Impact Reports and various studies on sports demographics.,,,,,,,,3 = possible,,,,,Mixed Martial Arts (MMA),8,"Warrior, UFC Fight Night, The Fighter, Bloodsport, Never Back Down, Raging Bull, Fighting with My Family, The Best of MMA"
,,,"National Sport Bodies: Participation statistics from regional or national bodies (e.g., USA Swimming, British Cycling).",,"Data from sport federations and national associations (e.g., USA Swimming, UK Cycling).",,,,,,,,4 = very possible,,,,,Kickboxing,4,"Kickboxer, Bloodsport, Kick-Ass, The Quest"
,,,Global Sports Organizations: Data from publications like The Global Sports Impact Report and various sports industry analysis platforms.,,,,GPT,,,,,,5 = definitely,,,,,"Martial Arts (Karate, Kung Fu)",10,"The Karate Kid, Enter the Dragon, Kung Fu Panda, Crouching Tiger, Hidden Dragon, Karate Kid Part II, Ip Man, The Last Dragon, The Way of the Dragon, The Art of War, The Drunken Master"
,,,,,,,,,,,,,,,,,,Sumo,1,Sumo (Documentary)
,1 Fatality Rate,2 CO2 footprint,3 Number of countries playing it,4 Ratio of Players of each gender,5 Number of Players,6 Cost of Equipment for Players,7 Presence in University Sports,8 Injury Rate,9 Social Media Presence,10 Gender Pay Gap,11 Ratio of each gender in coaching positions,12 Doping Statistics,13 Ease of developing new strategies,14 Accessibility across different streaming platforms,15 Movies/documentaries??? about the sport in the last 10 years,,,Boxing,15,"Rocky, Raging Bull, Million Dollar Baby, The Fighter, Creed, Ali, Cinderella Man, The Bleeder, Hands of Stone, When We Were Kings, Somebody Up There Likes Me, Requiem for a Heavyweight"
Water Polo,0.995321875,0.8424210526,0.3608866995,0.7782222222,0.01542377119,0.9399699248,0.1495739348,0.9542201835,0.87525,0.6008,0.7782222222,0.9232307692,0.002,0.002,0.0519,,,Judo,2,"The Judo Master, The Ultimate Judo (Documentary)"
Ultimate Frisbee,0.998440625,0.8949473684,0.2723940887,0.5564444444,0.006940347017,0.9962481203,0.1495739348,0.9633761468,0.2515,1,0.8891111111,0.9616153846,0.6673333333,0.002,0.002,,,Karate,3,"The Karate Kid, Karate Kid Part II, The Karate Kid (2010 remake)"
Gaelic Football,0.995321875,0.8424210526,0.1396551724,0.3346666667,0.002948147407,0.9774887218,0.0245112782,0.6886972477,0.12675,1,0.7782222222,0.9232307692,0.3346666667,0.002,0.002,,,Taekwondo,2,"Taekwondo (2016 film), The Kick"
Hurling,0.995321875,0.8424210526,0.04133004926,0.1128888889,0.002698634932,0.9774887218,0.009503759398,0.6429174312,0.12675,1,0.7782222222,0.9232307692,0.002,0.002,0.002,,,Wrestling,6,"The Wrestler, Fighting with My Family, Foxcatcher, The Wrestler, Nacho Libre, Beyond the Mat"
Beach Soccer,0.995321875,0.8949473684,0.2133990148,0.5564444444,0.01193059653,0.9899949875,0.009503759398,0.9450642202,0.7505,0.4012,0.8891111111,0.8464615385,0.002,0.002,0.002,,,Table Football (Foosball),0,N/A
Dragon Boat Racing,0.995321875,0.6848421053,0.2133990148,0.7782222222,0.009435471774,0.9087042607,0.009503759398,0.9816880734,0.2515,1,0.8891111111,0.9616153846,0.3346666667,0.002,0.002,,,Billiards (Pool),2,"The Hustler, Color of Money"
Tchoukball,0.998440625,0.8949473684,0.04133004926,0.5564444444,0.002449122456,0.9774887218,0.004501253133,0.9908440367,0.002,1,0.8891111111,0.9616153846,0.6673333333,0.002,0.002,,,Padel,0,N/A
Netball,0.998440625,0.8424210526,0.2871428571,0.3346666667,0.01193059653,0.9774887218,0.4997493734,0.9450642202,0.002,0.8004,0.7782222222,0.9232307692,0.3346666667,0.002,0.002,,,Pickleball,0,N/A
Roller Derby,0.998440625,0.7373684211,0.1396551724,0.1128888889,0.002449122456,0.9562280702,0.04952380952,0.8718165138,0.501,0.8004,0.8891111111,0.8464615385,0.6673333333,0.002,0.1018,,,Basque Pelota,0,N/A
Baseball,0.97816875,0.7898947368,0.2133990148,0.5564444444,0.03438671934,0.9774887218,0.4997493734,0.9450642202,1,0.002,0.1128888889,0.6929230769,0.002,0.4455555556,0.501,,,Diving,2,"The Dive, Le Grand Bleu"
Basketball,0.995321875,0.7898947368,1,,0.2265113256,0.9868684211,0.7498746867,0.7619449541,1,0.002,0.7782222222,0.7696923077,0.002,0.4455555556,0.501,,,Fencing,1,The Fencing Master
Cricket,0.995321875,0.7373684211,0.6066995074,0.7782222222,0.1516575829,0.9587293233,0.4997493734,0.9450642202,0.7505,0.2016,0.3346666667,0.8464615385,0.3346666667,0.3346666667,0.1517,,,Badminton,1,Azhagi (Indian film)
Field Hockey,0.995321875,0.7898947368,0.5083743842,0.1128888889,1,0.9774887218,0.2496240602,0.8535045872,0.62575,0.6008,0.8891111111,0.8464615385,0.002,0.2237777778,0.1018,,,Breaking (Breakdancing),3,"Breakin', Step Up 2: The Streets, Planet B-Boy"
Flag football,0.998440625,0.8949473684,0.2133990148,0.3346666667,0.006940347017,0.9931215539,0.09954887218,0.8901284404,0.501,0.6008,0.8891111111,0.9232307692,0.002,0.1128888889,0.002,,,Jeu de Paume,0,N/A
Football,0.97816875,0.7373684211,1,0.1128888889,0.00394619731,0.9774887218,1,0.7619449541,0.7505,0.2016,0.5564444444,0.8464615385,0.002,1,1,,,Rackets,0,N/A
Handball,0.995321875,0.8424210526,0.5083743842,0.7782222222,0.02690134507,0.9899949875,0.009503759398,0.8901284404,0.62575,0.6008,0.6673333333,0.9232307692,0.002,0.1128888889,0.002,,,Squash,2,"The Squash Player, Squeezed"
Lacrosse,0.995321875,0.7373684211,0.1396551724,0.3346666667,0.002948147407,0.9274636591,0.2496240602,0.7985688073,0.501,0.6008,0.7782222222,0.9232307692,0.3346666667,0.1128888889,0.1018,,,Table Tennis,2,"Balls of Fury, Ping Pong (Documentary)"
Rugby,0.995321875,0.7898947368,0.5083743842,1,0.006940347017,0.9774887218,0.1495739348,0.5513577982,0.501,0.2016,0.6673333333,0.7696923077,0.002,0.3346666667,0.2515,,,Tennis,6,"Battle of the Sexes, Wimbledon, Borg vs. McEnroe, The Prince of Tennis, 7 Days in Hell, The Break"
Tug of War,0.99937625,0.8949473684,0.2625615764,0.5564444444,0.002449122456,0.9962481203,0.004501253133,0.9816880734,0.37625,1,0.7782222222,0.9232307692,0.6673333333,0.002,0.002,,,Bowling,1,Kingpin
Volleyball,0.998440625,0.8424210526,1,0.5564444444,0.4011700585,0.9949974937,0.4997493734,0.9450642202,1,0.6008,0.8891111111,0.9232307692,0.3346666667,0.3346666667,0.1517,,,Darts,1,The Billards of Darts (Documentary)
Mixed Martial Arts (MMA),0.9313875,0.7898947368,0.2871428571,0.7782222222,0.05185259263,0.9274636591,0.0245112782,0.5513577982,0.62575,0.2016,0.2237777778,1,1,0.4455555556,0.4012,,,Mountain Biking,3,"Klunkerz, Singletrack High, The Collective"
Kickboxing,0.37625,0.8424210526,0.4100492611,1,0.01692084604,0.9774887218,0.009503759398,0.8535045872,0.37625,0.4012,0.4455555556,0.4626153846,1,0.3346666667,0.2016,,,"Climbing (Bouldering, Traditional Climbing)",5,"Free Solo, Meru, The Dawn Wall, Touching the Void, Vertical Limit"
"Martial Arts (Karate, Kung Fu)",0.995321875,0.8949473684,0.5083743842,0.3346666667,0.1017550878,0.9774887218,0.04952380952,0.8901284404,0.501,0.6008,0.3346666667,0.9232307692,1,0.1128888889,0.501,,,Orienteering,0,N/A
Sumo,0.995321875,0.8424210526,0.09049261084,0.5564444444,0.004445222261,0.9649824561,0.002,0.7802568807,0.002,0.4012,0.1128888889,0.9232307692,1,0.002,0.0519,,,Parkour,2,"District 13, Yamakasi"
Boxing,0.002,0.8424210526,0.7541871921,1,0.05185259263,0.9649824561,0.09954887218,0.002,0.501,0.2016,0.3346666667,0.5393846154,1,0.4455555556,0.7505,,,Skeet Shooting,0,N/A
Judo,0.995321875,0.8424210526,0.5083743842,0.3346666667,0.01193059653,0.9862431078,0.04952380952,0.8901284404,0.37625,0.8004,0.6673333333,0.8464615385,1,0.1128888889,0.1018,,,Disc Golf,0,N/A
Karate,0.995321875,0.8949473684,0.5083743842,0.5564444444,0.05185259263,0.9862431078,0.04952380952,0.8718165138,0.37625,0.6008,0.4455555556,0.9232307692,1,0.1128888889,0.1517,,,Baton Twirling,0,N/A
Taekwondo,0.995321875,0.8949473684,0.5083743842,0.7782222222,0.03688184409,0.9899949875,0.04952380952,0.8901284404,0.2515,0.6008,0.6673333333,0.8464615385,1,0.1128888889,0.1018,,,DanceSport (Competitive Dance),2,"Dance with Me, Strictly Ballroom"
Wrestling,0.995321875,0.8424210526,0.5083743842,0.002,0.01442572129,0.9862431078,0.2496240602,0.8535045872,0.62575,0.4012,0.3346666667,0.5393846154,1,0.2237777778,0.3014,,,Foilboarding (Hydrofoil Surfing),1,Hydrofoiling (Documentary)
Table Football (Foosball),1,0.9474736842,0.04133004926,0.3346666667,0.006940347017,0.9899949875,0.004501253133,0.9908440367,0.501,1,1,1,0.3346666667,0.002,0.002,,,Sandboarding,0,N/A
Billiards (Pool),1,0.8949473684,0.2379802956,0.7782222222,0.05185259263,0.9649824561,0.0245112782,0.9908440367,0.7505,0.8004,0.5564444444,1,1,0.1128888889,0.1018,,,Adventure Racing,2,"The Adventure Race, Eco Challenge (Documentary)"
Padel,0.998440625,0.8424210526,0.1396551724,0.7782222222,0.006940347017,0.9587293233,0.004501253133,0.9450642202,0.12675,0.8004,0.8891111111,0.9232307692,0.6673333333,0.1128888889,0.002,,,Wood Chopping,0,N/A
Pickleball,0.995321875,0.8424210526,0.1396551724,0.7782222222,0.00394619731,0.9899949875,0.0245112782,0.9633761468,0.501,1,0.8891111111,0.9616153846,0.6673333333,0.1128888889,0.002,,,Freediving,2,"The Big Blue, The Freediver"
Basque Pelota,0.995321875,0.7898947368,0.04133004926,0.3346666667,0.002948147407,0.9774887218,0.002,0.8901284404,0.12675,1,0.7782222222,0.9232307692,0.3346666667,0.002,0.002,,,Artistic Swimming,1,The Swimmers
Diving,0.995321875,0.7373684211,0.5083743842,0.5564444444,0.01193059653,1,0.04952380952,0.9450642202,0.87525,0.8004,0.8891111111,0.8464615385,1,0.1128888889,0.1018,,,Marathon Swimming (Open Water Swimming),1,The Loneliness of the Long Distance Runner
Fencing,0.998440625,0.7898947368,0.5083743842,0.5564444444,0.006940347017,0.9274636591,0.0245112782,0.9450642202,0.7505,0.8004,0.7782222222,0.8464615385,0.6673333333,0.1128888889,0.0519,,,Swimming,6,"The Swimmer, The Summer of '42, Swimming with Men, The Incredible Mr. Limpet, A Beautiful Mind, The Big Blue"
Badminton,1,0.8424210526,0.7541871921,0.7782222222,0.1017550878,0.9949974937,0.04952380952,0.9450642202,1,0.6008,0.7782222222,0.8464615385,0.3346666667,0.2237777778,0.0519,,,Canoeing,2,"Canoe (Documentary), River Runner (Documentary)"
Breaking,1,0.9474736842,0.2379802956,1,0.006940347017,0.9899949875,0.004501253133,0.9450642202,0.62575,1,0.8891111111,0.9616153846,1,0.002,0.1517,,,Cycling,8,"The Program, Breaking Away, American Flyers, Rising from the Ashes, The Armstrong Lie, Tour de France, The Ride, Pantani: The Accidental Death of a Cyclist"
Jeu de Paume,1,0.9474736842,0.002,0.3346666667,0.002,0.9274636591,0.002,0.9908440367,0.12675,1,0.7782222222,0.9232307692,0.002,0.002,0.002,,,Equestrian,2,"Seabiscuit, War Horse"
Rackets,1,0.8949473684,0.002,1,0.002,0.9937468672,0.002,0.9816880734,0.37625,1,0.8891111111,0.9232307692,0.002,0.002,0.002,,,Golf,2,"The Legend of Bagger Vance, Happy Gilmore"
Squash,1,0.8424210526,0.5083743842,0.7782222222,0.01193059653,0.9774887218,0.0245112782,0.8535045872,0.37625,0.8004,0.7782222222,0.8464615385,0.002,0.1128888889,0.1018,,,Modern Pentathlon,0,N/A
Table Tennis,1,0.9474736842,0.5083743842,1,0.1516575829,0.9899949875,0.04952380952,0.9816880734,0.37625,0.8004,0.7782222222,0.8464615385,0.3346666667,0.2237777778,0.1018,,,Coastal Rowing,0,N/A
Tennis,1,0.7373684211,1,0.5564444444,0.5009750488,0.9774887218,0.4997493734,0.9450642202,0.87525,0.4012,0.8891111111,0.6929230769,0.3346666667,0.4455555556,0.3014,,,Roque,0,N/A
Bowling,1,0.8424210526,0.2625615764,0.3346666667,0.05185259263,0.9856177945,0.0245112782,0.9908440367,0.62575,0.8004,0.7782222222,1,0.6673333333,0.002,0.0519,,,Sailing,3,"Captain Ron, Morning Light, The Mercy"
Darts,1,0.9474736842,0.2625615764,0.5564444444,0.006940347017,0.9987493734,0.004501253133,0.9908440367,0.37625,0.8004,0.5564444444,1,1,0.002,0.0519,,,Skateboarding,3,"Lords of Dogtown, The Skateboard King, The Secret Life of Walter Mitty"
Mountain Biking,0.9937625,0.6848421053,0.2625615764,0.7782222222,0.02191109555,0.9274636591,0.0245112782,0.8260366972,0.501,0.8004,0.7782222222,0.6161538462,0.6673333333,0.1128888889,0.1517,,,Surfing,4,"Riding Giants, The Endless Summer, Step into Liquid, Big Wednesday"
"Climbing (Bouldering, Traditional Climbing)",0.5321875,0.6848421053,0.5083743842,1,0.01193059653,0.9274636591,0.04952380952,0.9175963303,0.501,0.8004,0.7782222222,0.9232307692,1,0.1128888889,0.2515,,,Triathlon,2,"Ironman 2, The Triathlete"
Orienteering,0.995321875,0.7373684211,0.1396551724,1,0.002948147407,0.9949974937,0.004501253133,0.9908440367,0.501,1,0.8891111111,0.9616153846,0.3346666667,0.002,0.002,,,Weightlifting,2,"Pumping Iron, The Strongest Man in History"
Parkour,0.995321875,0.8949473684,0.09049261084,0.7782222222,0.004445222261,0.9899949875,0.004501253133,0.6429174312,0.501,1,0.7782222222,0.9616153846,1,0.002,0.1018,,,"Auto Racing (e.g., Formula 1, NASCAR)",6,"Rush, Ford v Ferrari, Days of Thunder, Speed Racer, Talladega Nights, The Fast and the Furious"
Skeet Shooting,1,0.9474736842,0.188817734,0.5564444444,0.01193059653,0.9274636591,0.004501253133,0.9908440367,0.12675,0.8004,0.6673333333,0.9232307692,0.002,0.002,0.002,,,Drag Racing,2,"Fast & Furious, Snake and Mongoose"
Disc Golf,1,0.6323157895,0.1642364532,0.5564444444,0.006940347017,0.9949974937,0.0245112782,0.9725321101,0.12675,1,0.8891111111,0.9616153846,0.002,0.002,0.002,,,Motocross,3,"Torque, On Any Sunday, Dust to Glory"
Baton Twirling,1,0.9474736842,0.09049261084,0.1128888889,0.002449122456,0.9987493734,0.004501253133,0.9908440367,0.002,1,0.5564444444,1,1,0.002,0.002,,,Enduro Motorcycle Racing,2,"Dust to Glory, The Moto"
DanceSport (Competitive Dance),0.995321875,1,0.2379802956,0.7782222222,0.006940347017,0.9649824561,0.0245112782,0.9908440367,0.37625,1,0.6673333333,0.9616153846,1,0.002,0.1018,,,Water Motorsports,2,
Foilboarding (Hydrofoil Surfing),0.995321875,0.8949473684,0.04133004926,0.3346666667,0.002,0.8524260652,0.002,0.9450642202,0.2515,1,0.7782222222,0.9232307692,0.3346666667,0.002,0.0519,,,,,
Sandboarding,0.995321875,0.6323157895,0.04133004926,0.5564444444,0.002449122456,0.9899949875,0.002,0.9450642202,0.2515,1,0.7782222222,0.9616153846,0.3346666667,0.002,0.002,,,,,
Adventure Racing,0.995321875,0.8424210526,0.188817734,0.7782222222,0.002449122456,0.9399699248,0.004501253133,0.8718165138,0.12675,1,0.8891111111,0.8464615385,0.3346666667,0.002,0.1018,,,,,
Wood Chopping,0.995321875,0.5797894737,0.09049261084,0.1128888889,0.002449122456,0.9649824561,0.002,0.8901284404,0.12675,1,0.7782222222,1,0.6673333333,0.002,0.002,,,,,
Freediving,0.5321875,0.7373684211,0.1396551724,0.7782222222,0.004445222261,0.9399699248,0.04952380952,0.9816880734,0.501,1,0.7782222222,0.9616153846,1,0.002,0.1018,,,,,
Artistic Swimming,0.995321875,0.8424210526,0.2379802956,0.1128888889,0.006940347017,0.8774385965,0.0245112782,0.9450642202,0.7505,1,0.8891111111,0.8464615385,1,0.1128888889,0.0519,,,,,
Marathon Swimming (aka open water swimming),0.995321875,0.8949473684,0.1396551724,1,0.006940347017,0.9949974937,0.04952380952,0.9816880734,0.7505,0.8004,0.8891111111,0.8464615385,0.002,0.1128888889,0.0519,,,,,
Swimming,0.995321875,0.7373684211,1,1,0.201560078,1,0.4997493734,0.9816880734,1,0.6008,0.7782222222,0.6929230769,0.002,0.4455555556,0.3014,,,,,
Canoeing,0.995321875,0.7898947368,0.5083743842,0.7782222222,0.006940347017,0.9649824561,0.0245112782,0.9816880734,0.62575,0.8004,0.8891111111,0.8464615385,0.002,0.1128888889,0.1018,,,,,
Cycling,0.99688125,0.8424210526,0.7541871921,0.5564444444,0.2514625731,0.9399699248,0.04952380952,0.7344770642,0.62575,0.4012,0.7782222222,0.002,0.002,0.4455555556,0.4012,,,,,
Equestrian,0.313875,0.6323157895,0.2969753695,0.5564444444,0.01692084604,0.8774385965,0.0245112782,0.8901284404,0.37625,1,0.8891111111,0.8464615385,0.3346666667,0.1128888889,0.1018,,,,,
Golf,0.998440625,0.6323157895,0.5083743842,0.5564444444,0.03189159458,0.9149573935,0.04952380952,0.9908440367,0.62575,0.4012,0.7782222222,0.9616153846,0.002,0.1128888889,0.1018,,,,,
Modern Pentathlon,0.995321875,0.6848421053,0.09049261084,1,0.002948147407,0.9149573935,0.004501253133,0.8901284404,0.12675,1,0.8891111111,0.8464615385,0.002,0.1128888889,0.002,,,,,
Coastal Rowing,0.995321875,0.7898947368,0.04133004926,0.7782222222,0.002449122456,0.9649824561,0.002,0.9450642202,0.2515,1,0.7782222222,0.9232307692,0.002,0.002,0.002,,,,,
Roque,1,0.9474736842,0.002,0.5564444444,0.002,0.9937468672,0.002,1,0.12675,1,0.7782222222,1,0.002,0.002,0.002,,,,,
Sailing,0.995321875,0.7898947368,0.2625615764,0.5564444444,0.01692084604,0.5022506266,0.004501253133,0.9908440367,0.501,0.8004,0.7782222222,0.9232307692,0.3346666667,0.1128888889,0.1517,,,,,
Skateboarding,0.9937625,0.8424210526,0.2625615764,0.3346666667,0.02690134507,0.9937468672,0.0245112782,0.7344770642,0.62575,0.6008,0.7782222222,0.8464615385,1,0.1128888889,0.1517,,,,,
Surfing,0.995321875,0.7898947368,0.2625615764,0.5564444444,0.0194159708,0.9399699248,0.0245112782,0.8901284404,0.501,0.6008,0.8891111111,0.9232307692,1,0.2237777778,0.2016,,,,,
Triathlon,0.995321875,0.6323157895,0.5083743842,0.7782222222,0.006940347017,0.8774385965,0.0245112782,0.9450642202,0.501,0.6008,0.7782222222,0.6161538462,0.002,0.2237777778,0.1018,,,,,
